ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,(Wide),ReportID:,2210,DataYear:,2011,Prepared,8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Federal Functional Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road Length values temporarilly not included in this report pending publication of official road length values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,VDOT Secondary,,,,,,VDOT Primary,,,,,,VDOT Interstate,,,,,,County Secondary,,,,,,Urban Secondary,,,,,,Urban Primary,,,,,,Other Secondary,,,,,,Other Primary,,,,,,All Roads,,,
1,Southwestern Region,033,Franklin County,7,Rural Major Collector,,,              ,297,934,0.74%,0.13%,,,,61,326,0.09%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,260,0.16%,,
1,Southwestern Region,033,Franklin County,8,Rural Minor Collector,,,              ,44,109,0.11%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,109,0.02%,,
1,Southwestern Region,033,Franklin County,9,Rural Local System,,,              ,225,204,0.56%,0.10%,,,,561,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,766,0.10%,,
1,Southwestern Region,033,Franklin County Total:,,,,,,567,247,1.40%,0.26%,,,,813,451,1.21%,0.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,380,698,0.62%,,
1,Southwestern Region,035,Giles County,2,Rural Principal Arterial - Other,,,              ,,,,,,,337,031,0.50%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,031,0.15%,,
1,Southwestern Region,035,Giles County,6,Rural Minor Arterial,,,              ,,,,,,,60,839,0.09%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,839,0.03%,,
1,Southwestern Region,035,Giles County,7,Rural Major Collector,,,              ,22,099,0.05%,0.01%,,,,56,999,0.08%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,098,0.04%,,
1,Southwestern Region,035,Giles County,8,Rural Minor Collector,,,              ,4,400,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,400,0.00%,,
1,Southwestern Region,035,Giles County,9,Rural Local System,,,              ,39,471,0.10%,0.02%,,,,32,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,503,0.02%,,
1,Southwestern Region,035,Giles County Total:,,,,,,65,970,0.16%,0.03%,,,,454,901,0.68%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,871,0.24%,,
1,Southwestern Region,038,Grayson County,6,Rural Minor Arterial,,,              ,,,,,,,178,387,0.27%,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,387,0.08%,,
1,Southwestern Region,038,Grayson County,7,Rural Major Collector,,,              ,43,304,0.11%,0.02%,,,,14,628,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,932,0.03%,,
1,Southwestern Region,038,Grayson County,8,Rural Minor Collector,,,              ,5,940,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,940,0.00%,,
1,Southwestern Region,038,Grayson County,9,Rural Local System,,,              ,59,972,0.15%,0.03%,,,,1,087,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,059,0.03%,,
1,Southwestern Region,038,Grayson County,14,Urban Principal Arterial - Other,,,              ,,,,,,,5,283,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,283,0.00%,,
1,Southwestern Region,038,Grayson County,19,Urban Local System,,,              ,28,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.00%,,
1,Southwestern Region,038,Grayson County Total:,,,,,,109,244,0.27%,0.05%,,,,199,386,0.30%,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,629,0.14%,,
1,Southwestern Region,041,Halifax County,2,Rural Principal Arterial - Other,,,              ,,,,,,,325,259,0.48%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,259,0.15%,,
1,Southwestern Region,041,Halifax County,6,Rural Minor Arterial,,,              ,,,,,,,176,157,0.26%,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,157,0.08%,,
1,Southwestern Region,041,Halifax County,7,Rural Major Collector,,,              ,145,367,0.36%,0.07%,,,,39,032,0.06%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,398,0.08%,,
1,Southwestern Region,041,Halifax County,8,Rural Minor Collector,,,              ,10,517,0.03%,0.00%,,,,1,899,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,416,0.01%,,
1,Southwestern Region,041,Halifax County,9,Rural Local System,,,              ,97,362,0.24%,0.04%,,,,11,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,373,0.04%,,
1,Southwestern Region,041,Halifax County,14,Urban Principal Arterial - Other,,,              ,,,,,,,17,110,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,110,0.01%,,
1,Southwestern Region,041,Halifax County,16,Urban Minor Arterial,,,              ,5,993,0.01%,0.00%,,,,49,452,0.07%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,445,0.03%,,
1,Southwestern Region,041,Halifax County,17,Urban Collector,,,              ,6,103,0.02%,0.00%,,,,83,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,187,0.00%,,
1,Southwestern Region,041,Halifax County,19,Urban Local System,,,              ,6,733,0.02%,0.00%,,,,7,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,739,0.00%,,
1,Southwestern Region,041,Halifax County Total:,,,,,,272,075,0.67%,0.12%,,,,609,010,0.91%,0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,085,0.40%,,
1,Southwestern Region,044,Henry County,2,Rural Principal Arterial - Other,,,              ,,,,,,,155,780,0.23%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,780,0.07%,,
1,Southwestern Region,044,Henry County,6,Rural Minor Arterial,,,              ,,,,,,,141,950,0.21%,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,950,0.06%,,
1,Southwestern Region,044,Henry County,7,Rural Major Collector,,,              ,146,839,0.36%,0.07%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,839,0.07%,,
1,Southwestern Region,044,Henry County,8,Rural Minor Collector,,,              ,15,449,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,449,0.01%,,
1,Southwestern Region,044,Henry County,9,Rural Local System,,,              ,113,323,0.28%,0.05%,,,,767,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,089,0.05%,,
1,Southwestern Region,044,Henry County,12,Urban Principal Arterial - Other Freeways or Expressways,,,              ,,,,,,,231,489,0.34%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,489,0.10%,,
1,Southwestern Region,044,Henry County,14,Urban Principal Arterial - Other,,,              ,5,083,0.01%,0.00%,,,,322,676,0.48%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,759,0.15%,,
1,Southwestern Region,044,Henry County,16,Urban Minor Arterial,,,              ,52,009,0.13%,0.02%,,,,151,260,0.22%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,269,0.09%,,
1,Southwestern Region,044,Henry County,17,Urban Collector,,,              ,59,138,0.15%,0.03%,,,,34,244,0.05%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,382,0.04%,,
1,Southwestern Region,044,Henry County,19,Urban Local System,,,              ,59,252,0.15%,0.03%,,,,119,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,371,0.03%,,
1,Southwestern Region,044,Henry County Total:,,,,,,451,093,1.12%,0.20%,,,,1,038,285,1.54%,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,489,378,0.67%,,
1,Southwestern Region,052,Lee County,2,Rural Principal Arterial - Other,,,              ,,,,,,,39,275,0.06%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,275,0.02%,,
1,Southwestern Region,052,Lee County,6,Rural Minor Arterial,,,              ,,,,,,,387,994,0.58%,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,994,0.18%,,
1,Southwestern Region,052,Lee County,7,Rural Major Collector,,,              ,46,123,0.11%,0.02%,,,,20,001,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,124,0.03%,,
1,Southwestern Region,052,Lee County,8,Rural Minor Collector,,,              ,7,897,0.02%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,897,0.00%,,
1,Southwestern Region,052,Lee County,9,Rural Local System,,,              ,83,574,0.21%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,574,0.04%,,
1,Southwestern Region,052,Lee County Total:,,,,,,137,594,0.34%,0.06%,,,,447,270,0.66%,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,863,0.26%,,
1,Southwestern Region,060,Montgomery County,1,Rural Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,910,652,1.38%,0.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,652,0.41%,,
1,Southwestern Region,060,Montgomery County,2,Rural Principal Arterial - Other,,,              ,,,,,,,48,179,0.07%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,179,0.02%,,
1,Southwestern Region,060,Montgomery County,6,Rural Minor Arterial,,,              ,,,,,,,198,977,0.30%,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,977,0.09%,,
1,Southwestern Region,060,Montgomery County,7,Rural Major Collector,,,              ,162,690,0.40%,0.07%,,,,78,314,0.12%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,004,0.11%,,
1,Southwestern Region,060,Montgomery County,8,Rural Minor Collector,,,              ,18,627,0.05%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,627,0.01%,,
1,Southwestern Region,060,Montgomery County,9,Rural Local System,,,              ,88,002,0.22%,0.04%,,,,909,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,911,0.04%,,
1,Southwestern Region,060,Montgomery County,11,Urban Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,211,010,0.32%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,010,0.10%,,
1,Southwestern Region,060,Montgomery County,12,Urban Principal Arterial - Other Freeways or Expressways,,,              ,,,,,,,354,320,0.53%,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,320,0.16%,,
1,Southwestern Region,060,Montgomery County,14,Urban Principal Arterial - Other,,,              ,,,,,,,47,691,0.07%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,691,0.02%,,
1,Southwestern Region,060,Montgomery County,16,Urban Minor Arterial,,,              ,5,386,0.01%,0.00%,,,,85,618,0.13%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,004,0.04%,,
1,Southwestern Region,060,Montgomery County,17,Urban Collector,,,              ,2,150,0.01%,0.00%,,,,2,151,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,301,0.00%,,
1,Southwestern Region,060,Montgomery County,19,Urban Local System,,,              ,15,151,0.04%,0.01%,,,,6,035,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,186,0.01%,,
1,Southwestern Region,060,Montgomery County Total:,,,,,,292,006,0.72%,0.13%,,,,822,193,1.22%,0.37%,,,,1,121,662,1.70%,0.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,235,861,1.01%,,
1,Southwestern Region,062,Nelson County,2,Rural Principal Arterial - Other,,,              ,,,,,,,310,683,0.46%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,683,0.14%,,
1,Southwestern Region,062,Nelson County,6,Rural Minor Arterial,,,              ,,,,,,,146,321,0.22%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,321,0.07%,,
1,Southwestern Region,062,Nelson County,7,Rural Major Collector,,,              ,28,687,0.07%,0.01%,,,,41,031,0.06%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,718,0.03%,,
1,Southwestern Region,062,Nelson County,8,Rural Minor Collector,,,              ,9,063,0.02%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,063,0.00%,,
1,Southwestern Region,062,Nelson County,9,Rural Local System,,,              ,56,726,0.14%,0.03%,,,,109,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,835,0.03%,,
1,Southwestern Region,062,Nelson County Total:,,,,,,94,475,0.23%,0.04%,,,,498,144,0.74%,0.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,619,0.27%,,
1,Southwestern Region,070,Patrick County,6,Rural Minor Arterial,,,              ,,,,,,,207,794,0.31%,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,794,0.09%,,
1,Southwestern Region,070,Patrick County,7,Rural Major Collector,,,              ,70,881,0.18%,0.03%,,,,42,182,0.06%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,063,0.05%,,
1,Southwestern Region,070,Patrick County,8,Rural Minor Collector,,,              ,13,534,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,534,0.01%,,
1,Southwestern Region,070,Patrick County,9,Rural Local System,,,              ,79,932,0.20%,0.04%,,,,5,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,937,0.04%,,
1,Southwestern Region,070,Patrick County Total:,,,,,,164,347,0.41%,0.07%,,,,249,981,0.37%,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,328,0.19%,,
1,Southwestern Region,071,Pittsylvania County,2,Rural Principal Arterial - Other,,,              ,,,,,,,694,565,1.03%,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,565,0.31%,,
1,Southwestern Region,071,Pittsylvania County,6,Rural Minor Arterial,,,              ,765,0.00%,0.00%,,,,174,685,0.26%,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,450,0.08%,,
1,Southwestern Region,071,Pittsylvania County,7,Rural Major Collector,,,              ,279,920,0.69%,0.13%,,,,70,693,0.11%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,614,0.16%,,
1,Southwestern Region,071,Pittsylvania County,8,Rural Minor Collector,,,              ,60,243,0.15%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,243,0.03%,,
1,Southwestern Region,071,Pittsylvania County,9,Rural Local System,,,              ,233,652,0.58%,0.11%,,,,1,230,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,882,0.11%,,
1,Southwestern Region,071,Pittsylvania County,12,Urban Principal Arterial - Other Freeways or Expressways,,,              ,,,,,,,156,149,0.23%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,149,0.07%,,
1,Southwestern Region,071,Pittsylvania County,14,Urban Principal Arterial - Other,,,              ,,,,,,,87,915,0.13%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,915,0.04%,,
1,Southwestern Region,071,Pittsylvania County,16,Urban Minor Arterial,,,              ,25,630,0.06%,0.01%,,,,449,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,079,0.01%,,
1,Southwestern Region,071,Pittsylvania County,17,Urban Collector,,,              ,11,724,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,724,0.01%,,
1,Southwestern Region,071,Pittsylvania County,19,Urban Local System,,,              ,31,609,0.08%,0.01%,,,,185,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,794,0.01%,,
1,Southwestern Region,071,Pittsylvania County Total:,,,,,,643,544,1.59%,0.29%,,,,1,185,872,1.76%,0.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,829,416,0.83%,,
1,Southwestern Region,073,Prince Edward County,2,Rural Principal Arterial - Other,,,              ,,,,,,,347,044,0.52%,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,044,0.16%,,
1,Southwestern Region,073,Prince Edward County,6,Rural Minor Arterial,,,              ,,,,,,,82,484,0.12%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,484,0.04%,,
1,Southwestern Region,073,Prince Edward County,7,Rural Major Collector,,,              ,60,993,0.15%,0.03%,,,,17,210,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,202,0.04%,,
1,Southwestern Region,073,Prince Edward County,8,Rural Minor Collector,,,              ,12,116,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,116,0.01%,,
1,Southwestern Region,073,Prince Edward County,9,Rural Local System,,,              ,52,860,0.13%,0.02%,,,,173,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,033,0.02%,,
1,Southwestern Region,073,Prince Edward County,19,Urban Local System,,,              ,,,,,,,114,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,0.00%,,
1,Southwestern Region,073,Prince Edward County Total:,,,,,,125,969,0.31%,0.06%,,,,447,025,0.66%,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,994,0.26%,,
1,Southwestern Region,077,Pulaski County,1,Rural Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,663,213,1.01%,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,213,0.30%,,
1,Southwestern Region,077,Pulaski County,6,Rural Minor Arterial,,,              ,,,,,,,213,659,0.32%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,659,0.10%,,
1,Southwestern Region,077,Pulaski County,7,Rural Major Collector,,,              ,107,700,0.27%,0.05%,,,,28,824,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,524,0.06%,,
1,Southwestern Region,077,Pulaski County,8,Rural Minor Collector,,,              ,11,436,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,436,0.01%,,
1,Southwestern Region,077,Pulaski County,9,Rural Local System,,,              ,76,976,0.19%,0.03%,,,,11,869,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,845,0.04%,,
1,Southwestern Region,077,Pulaski County,14,Urban Principal Arterial - Other,,,              ,,,,,,,83,185,0.12%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,185,0.04%,,
1,Southwestern Region,077,Pulaski County,17,Urban Collector,,,              ,5,748,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,748,0.00%,,
1,Southwestern Region,077,Pulaski County,19,Urban Local System,,,              ,8,547,0.02%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,547,0.00%,,
1,Southwestern Region,077,Pulaski County Total:,,,,,,210,407,0.52%,0.09%,,,,337,537,0.50%,0.15%,,,,663,213,1.01%,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,211,158,0.55%,,
1,Southwestern Region,080,Roanoke County,1,Rural Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,76,579,0.12%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,579,0.03%,,
1,Southwestern Region,080,Roanoke County,2,Rural Principal Arterial - Other,,,              ,,,,,,,172,278,0.26%,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,278,0.08%,,
1,Southwestern Region,080,Roanoke County,6,Rural Minor Arterial,,,              ,,,,,,,54,104,0.08%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,104,0.02%,,
1,Southwestern Region,080,Roanoke County,7,Rural Major Collector,,,              ,31,144,0.08%,0.01%,,,,111,598,0.17%,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,742,0.06%,,
1,Southwestern Region,080,Roanoke County,8,Rural Minor Collector,,,              ,6,070,0.02%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,070,0.00%,,
1,Southwestern Region,080,Roanoke County,9,Rural Local System,,,              ,33,083,0.08%,0.01%,,,,585,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,669,0.02%,,
1,Southwestern Region,080,Roanoke County,11,Urban Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,1,273,019,1.93%,0.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,273,019,0.57%,,
1,Southwestern Region,080,Roanoke County,12,Urban Principal Arterial - Other Freeways or Expressways,,,              ,,,,,,,161,603,0.24%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,603,0.07%,,
1,Southwestern Region,080,Roanoke County,14,Urban Principal Arterial - Other,,,              ,,,,,,,441,779,0.66%,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,779,0.20%,,
1,Southwestern Region,080,Roanoke County,16,Urban Minor Arterial,,,              ,36,516,0.09%,0.02%,,,,77,576,0.12%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,092,0.05%,,
1,Southwestern Region,080,Roanoke County,17,Urban Collector,,,              ,135,538,0.34%,0.06%,,,,64,200,0.10%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,738,0.09%,,
1,Southwestern Region,080,Roanoke County,19,Urban Local System,,,              ,184,896,0.46%,0.08%,,,,6,861,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,757,0.09%,,
1,Southwestern Region,080,Roanoke County Total:,,,,,,427,248,1.06%,0.19%,,,,1,090,583,1.62%,0.49%,,,,1,349,599,2.05%,0.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,867,430,1.29%,,
1,Southwestern Region,083,Russell County,2,Rural Principal Arterial - Other,,,              ,,,,,,,461,247,0.69%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,247,0.21%,,
1,Southwestern Region,083,Russell County,6,Rural Minor Arterial,,,              ,,,,,,,99,043,0.15%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,043,0.04%,,
1,Southwestern Region,083,Russell County,7,Rural Major Collector,,,              ,69,674,0.17%,0.03%,,,,76,049,0.11%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,724,0.07%,,
1,Southwestern Region,083,Russell County,8,Rural Minor Collector,,,              ,10,019,0.02%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,019,0.00%,,
1,Southwestern Region,083,Russell County,9,Rural Local System,,,              ,98,033,0.24%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,033,0.04%,,
1,Southwestern Region,083,Russell County,17,Urban Collector,,,              ,,,,,,,1,482,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,482,0.00%,,
1,Southwestern Region,083,Russell County,19,Urban Local System,,,              ,98,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.00%,,
1,Southwestern Region,083,Russell County Total:,,,,,,177,825,0.44%,0.08%,,,,637,822,0.95%,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,647,0.37%,,
1,Southwestern Region,084,Scott County,2,Rural Principal Arterial - Other,,,              ,,,,,,,229,350,0.34%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,350,0.10%,,
1,Southwestern Region,084,Scott County,6,Rural Minor Arterial,,,              ,,,,,,,96,259,0.14%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,259,0.04%,,
